0,-258.255,43.10608
.01,-228.4241,42.03796
.02,-199.7375,35.17151
.03,-152.8931,20.44678
.04,-85.44922,4.043579
.05,-12.35962,-9.460449
.06,51.57471,-20.2179
.07,82.47375,-24.56665
.08,74.3103,-25.177
.09,34.33228,-25.71106
.1,-16.70837,-29.52576
.11,-57.29675,-27.23694
.12,-76.52283,-18.46313
.13,-78.81165,-5.111694
.14,-74.69177,8.544922
.15,-80.79529,14.95361
.16,-86.74622,18.23425
.17,-79.72717,21.82007
.18,-56.30493,26.85547
.19,-20.52307,34.94263
.2,8.621216,41.35132
.21,16.70837,39.52026
.22,5.645752,32.57751
.23,-15.25879,21.20972
.24,-39.74915,9.918213
.25,-55.92346,-.3814697
.26,-56.45752,-10.68115
.27,-55.92346,-20.2179
.28,-62.33215,-28.9917
.29,-79.49829,-38.75732
.3,-91.47644,-44.63196
.31,-81.63452,-39.97803
.32,-44.25049,-24.71924
.33,2.059937,-8.773804
.34,44.40308,3.433228
.35,74.53918,13.12256
.36,69.12231,17.77649
.37,38.68103,20.75195
.38,-.2288818,25.10071
.39,-28.07617,28.07617
.4,-42.95349,23.42224
.41,-55.92346,16.17432
.42,-71.48743,6.408691
.43,-81.02417,-2.441406
.44,-39.59656,-10.14709
.45,54.77905,-15.64026
.46,175.5524,-17.85278
.47,258.7128,-19.22607
.48,275.5737,-24.33777
.49,234.0698,-27.16064
.5,158.1573,-21.59119
.51,54.39758,-11.44409
.52,-8.926392,-1.449585
.53,-30.13611,3.051758
.54,-17.16614,3.509521
.55,9.918213,4.119873
.56,42.8009,5.645752
.57,98.64807,8.926392
.58,189.3616,12.28333
.59,299.2249,15.1062
.6,393.6768,11.3678
.61,395.1263,4.119873
.62,330.0476,-4.501343
.63,238.9526,-11.44409
.64,133.9722,-16.93726
.65,52.41394,-20.82825
.66,32.7301,-25.71106
.67,72.25037,-34.94263
.68,170.517,-41.80908
.69,306.5491,-38.29956
.7,458.374,-29.52576
.71,582.8094,-16.09802
.72,638.2751,-1.144409
.73,631.7902,12.28333
.74,585.4797,20.1416
.75,503.4637,24.26147
.76,373.9929,26.70288
.77,220.6421,28.68652
.78,132.5226,30.2124
.79,119.6289,23.9563
.8,211.8683,12.05444
.81,352.9358,-2.288818
.82,465.6219,-18.38684
.83,517.9596,-27.61841
.84,509.6436,-34.33228
.85,449.1425,-37.68921
.86,374.527,-39.36768
.87,289.3066,-37.07886
.88,206.2988,-30.36499
.89,161.2854,-18.15796
.9,137.0239,-3.128052
.91,157.547,14.95361
.92,189.743,27.16064
.93,207.7484,31.28052
.94,210.5713,28.30505
.95,192.6422,26.09253
